id,title,description,outcome,lollapalooza_score,key_insight,year,domain,thinker_id
1,Berkshire Hathaway's Coca-Cola Investment (1988),"Buffett invested $1 billion in Coca-Cola after the 1987 crash, recognizing the brand moat and global distribution network. The investment grew to over $25 billion.",success,0.85,Brand power + global distribution + consumer habit = durable moat. Bought when Mr. Market was depressed.,1988,Investment,2
2,Soros Breaks the Bank of England (1992),"George Soros bet $10 billion against the British pound, recognizing the unsustainable peg to the Deutsche Mark. Made $1 billion in a single day.",success,0.95,"Reflexivity in action - the peg was unsustainable, and betting against it would accelerate its collapse. Asymmetric payoff with limited downside.",1992,Currency Trading,3
3,Long-Term Capital Management Collapse (1998),LTCM's Nobel laureate-led fund collapsed due to excessive leverage and model overconfidence during the Russian debt crisis.,failure,0.9,Excessive leverage + model overconfidence + fat tail events = catastrophic failure. The models worked until they didn't.,1998,Hedge Funds,
4,Amazon's Long-Term Thinking (1997-2020),"Bezos sacrificed short-term profits for long-term market dominance, reinvesting all cash flow into growth and infrastructure.",success,0.92,Second-order thinking + network effects + scale economies + long-term compounding = winner-take-most outcome.,1997,Technology,
5,Enron Fraud and Collapse (2001),"Enron's accounting fraud was enabled by incentive misalignment, complexity as camouflage, and authority-misinfluence tendency.",failure,0.88,Lollapalooza of bad incentives + complexity + authority worship + psychological denial created massive fraud.,2001,Corporate Governance,
6,Munger's See's Candies Investment (1972),"Berkshire paid $25 million for See's Candies, learning the power of pricing power and brand loyalty. Generated over $2 billion in pre-tax earnings.",success,0.8,Brand power allows pricing power. Capital-light business with high returns on invested capital compounds beautifully.,1972,Investment,1
7,2008 Financial Crisis - Housing Bubble,"Systemic failure driven by incentive misalignment, moral hazard, and lollapalooza of psychological tendencies across the financial system.",failure,0.98,Ultimate lollapalooza: bad incentives + moral hazard + social proof + overoptimism + positive feedback loops = systemic collapse.,2008,Financial Markets,
8,Bridgewater's All Weather Strategy,Ray Dalio designed a portfolio to perform in any economic environment using risk parity principles.,success,0.75,Scenario analysis + redundancy + probabilistic thinking = resilient portfolio across economic regimes.,1996,Portfolio Management,4
9,Renaissance Technologies Medallion Fund,Jim Simons built the most successful hedge fund in history using quantitative methods and pattern recognition.,success,0.95,Rigorous probabilistic thinking + Bayesian updating + multidisciplinary approach = sustained alpha generation.,1988,Quantitative Finance,5
10,Kodak's Failure to Adapt (1975-2012),Kodak invented digital photography but failed to adapt due to inconsistency-avoidance and protecting existing business.,failure,0.82,Inconsistency-avoidance + status quo bias + creative destruction denial = corporate death.,2012,Corporate Strategy,
